id	title
FWBoGKCxqbc	#Shorts / 아침에 만나는 '천원의 행복'‥'밥값 부담' 대학생들 매진 행렬 (2023.03.22/뉴스데스크/MBC)
jC4MMPm0s4Y	#Shorts / 강릉에서 토종 붉은여우 발견‥소백산에서 400km 이동 (2023.03.22/뉴스데스크/MBC)
EsBUhjiSYcQ	#Shorts / 거세지는 '강제동원' 후폭풍‥학계 비판 성명에 시국선언 잇따라 (2023.03.22/뉴스데스크/MBC)
XTNUnN_ZnT4	"#Shorts / """"은행 사태 추가 보호 가능""""‥내일 기준금리 발표 (2023.03.22/뉴스투데이/MBC)"
KDPE_QnpUCI	#Shorts / 상수도료 17년 만에 최대폭 상승‥생수값도 7% ↑ (2023.03.22/12MBC뉴스)
5PctXMeD_go	"#Shorts / [와글와글] """"JMS 신도, 이렇게 구별하세요"""" (2023.03.22/뉴스투데이/MBC)"
TYKwcnlz2cA	추경호 “올해 공동주택 공시가격 18.6% 하락..역대 최대”, 보유세 부담 2020년 보다 줄어 #Shorts (2023.03.22/MBC News)
qcZH2sI8JEM	#Shorts / [이 시각 세계] 독일 10대들, 13세 소녀 집단 괴롭힘 (2023.03.22/뉴스투데이/MBC)
kr7f0Qs-bLA	"#Shorts / [와글와글] 이탄희 """"국회의원 세비, 절반으로 줄이자"""" (2023.03.22/뉴스투데이/MBC)"
wrMD5_kAUPE	한상혁 방통위원장 검찰 소환 “치우침 없이, 투명하게 업무 수행. 오해는 벗어질 것” #Shorts (2023.03.22/MBC News)
LNmkty0uW40	"#Shorts / """"왜 당당하게 얘길 못해요!"""" 질문하다 발끈한 野 의원 [뉴스.zip/MBC뉴스]"
jpIRqpuge4c	#Shorts / [문화연예 플러스] 인도네시아 총선에 등장한 블랙핑크 (2023.03.22/뉴스투데이/MBC)
CJ-Bds3JNf4	"#Shorts / [와글와글] 손님 비난했다가 """"쌓일 때까지 뭐 했느냐"""" 뭇매 (2023.03.22/뉴스투데이/MBC)"
oIYoNuvs3KQ	#Shorts / [이 시각 세계] '흉터 만들기' 유행에 이탈리아 당국 '틱톡' 조사 (2023.03.22/뉴스투데이/MBC)
dwYEFJpJXM4	"#Shorts / """"친일파"""" 발언 사과했지만 """"반쪽 사과"""" 후폭풍 (2023.03.21/뉴스데스크/MBC)"
sniUNA2laIM	"#Shorts / 애플페이 첫날 이용자 폭증 """"결제 안 돼요""""‥국내업체는 동맹 구축 (2023.03.21/뉴스데스크/MBC)"
E41V5sCMtz8	"#Shorts / """"일본 수십 번 사과‥반일 이용 세력 엄연히 존재"""" (2023.03.21/뉴스데스크/MBC)"
WkBi-8F09Ys	2023년 3월 22일 (수) 오늘의 주요 뉴스 #Shorts
jp9eq1wEH-g	"#Shorts / 윤 대통령 """"동맹 훼손""""이라 했지만 미국은 """"인권 침해"""" (2023.03.21/뉴스데스크/MBC)"
C8fgFpllnRU	"#Shorts / [오늘 이 뉴스]""""MZ가 69시간 좋아해요?"""" """"좋아하는 사람 없죠"""" 근데 왜?  (2023.03.21/MBC뉴스)"
RHPCQpjCjYk	#Shorts / [이 시각 세계] 한국 행복 순위는 57위 'OECD 최하위권' (2023.03.21/뉴스투데이/MBC)
HxOkotZ3SgQ	"#Shorts / [이 시각 세계] """"혹시 UFO?"""" 밤하늘 가른 빛줄기 정체는? (2023.03.21/뉴스투데이/MBC)"
b5BTHfjS_jk	#Shorts / '정순신 청문회' 31일 개최‥야당 단독 처리 (2023.03.21/12MBC뉴스)
JsGmGsPVOlc	"#Shorts / """"하늘에서 눈 대신 톱밥이 내리네""""‥'친환경 산업' 배신? (2023.03.20/뉴스데스크/MBC)"
wMW_CeH9hlM	"지금처럼 하면 """"돌아올 수 없는 다리 건넌다"""" #Shorts (2023.03.21/MBC News)"
Y6X_jbiPXj8	"#Shorts / [와글와글] 시어머니 전화에 '여보세요'‥""""잘못한 건가요?"""" (2023.03.21/뉴스투데이/MBC)"
BhTHFII-YPE	하늘에서 톱밥이 펄펄..'친환경 산업'의 배신?  #Shorts (2023.03.21/MBC News)
SvHkcGAGnqw	"#Shorts / [와글와글] """"왜 저랬을까?""""‥빈 휠체어 내동댕이 (2023.03.21/뉴스투데이/MBC)"
zxFStRqjBaE	"#Shorts / [와글와글] """"깜빡했어요"""" 차량 지붕에 커피 올려놓고 질주 (2023.03.21/뉴스투데이/MBC)"
bcvSILRpO00	#Shorts / [이 시각 세계] 마이애미 해변, 잇단 총격에 '심야 통금령' (2023.03.21/뉴스투데이/MBC)
OAAJqhN9oTE	"#Shorts / [와글와글] """"믹스커피 마실 때 이름 적어야""""‥'직장 거지 배틀' 화제 (2023.03.21/뉴스투데이/MBC)"
8lYyH2bUxBI	"#Shorts / """"윤 정부 퇴진해야""""‥첫 시국미사 열려 (2023.03.21/뉴스투데이/MBC)"
aWoc2LczCiQ	"#Shorts / '27년 만에 우승' 안세영 """"경력에 한 획을 그었어요"""" (2023.03.20/뉴스데스크/MBC)"
9jL3cTfTLWY	"#Shorts / 대통령실 """"주 60시간 지침 아니다"""" 오락가락 혼선 (2023.03.20/뉴스데스크/MBC)"
T1Ch3u17uEo	"#Shorts / [단독] '전광훈 집회' 강제동원까지‥""""당하는 동안 아무도 몰랐다"""" (2023.03.20/뉴스데스크/MBC)"
okvcYU01Rl4	#Shorts / [문화연예 플러스] 귀네스 팰트로의 건강식 '뭇매' (2023.03.20/뉴스투데이/MBC)
BdvuNM0gRug	#Shorts / [이 시각 세계] 프랑스 연금개혁 강행에 반대 시위 격화 (2023.03.20/뉴스투데이/MBC)
hRprxfWZkCc	'우크라 참전' 이근, 첫 재판 뒤 유튜버와 다툼 #Shorts (2023.03.20/MBC News)
hsQ5v05Iib8	"#Shorts / [문화연예 플러스] '나는 신이다' PD """"상상도 못했던 일 벌어져"""" (2023.03.20/뉴스투데이/MBC)"
7I82_XTvLNI	#Shorts / [와글와글] 10만분의 1 확률 '겹쌍둥이' 탄생 (2023.03.20/뉴스투데이/MBC)
DnBOcmibDbs	#Shorts / [와글와글] 커피와 함께 '찰칵', 규정 위반 들통 (2023.03.20/뉴스투데이/MBC)
EU3NUeO7vg0	#Shorts / 24시간 문 열어놨더니‥'무법지대' 된 무인점포 (2023.03.20/뉴스투데이/MBC)
tUH3Sbtqs_4	#Shorts / 푸틴, 전범 수배되자 하루 만에 우크라 점령지 전격방문 (2023.03.19/뉴스데스크/MBC)
yEyPH3WPwec	#Shorts / 패러글라이딩 착륙하다‥동호회원 2명 숨져 (2023.03.19/뉴스데스크/MBC)
_doRAK9KRbs	"#Shorts / 대통령실 """"한국이 유리한 위치 됐다"""" (2023.03.19/뉴스데스크/MBC)"
4H0Q8HXEiEs	2023년 3월 20일 (월) 오늘의 주요 뉴스 #Shorts
Z9fh5K1EkAM	2023년 3월 18일 (토) 오늘의 주요 뉴스 #Shorts
QP_28m1-tT0	#Shorts / [이 시각 세계] 브라질 화산섬서 '플라스틱 암석' 발견 (2023.03.17/뉴스투데이/MBC)
2YPsLJxpk-g	#Shorts / [와글와글] '으악!' 이번엔 맨발로, 담배 물고 채소 절여 (2023.03.17/뉴스투데이/MBC)
xwuYL_6Tq8I	#Shorts / [와글와글] '백수의 왕' 포위한 하마들‥과연 누가 이길까? (2023.03.17/뉴스투데이/MBC)
f9pWQim8xB4	#Shorts / [와글와글] 침대에서 '펑' 또 폭발한 샤오미 스마트폰 (2023.03.17/뉴스투데이/MBC)
4rKZAhoZh_o	#Shorts / [와글와글] 국밥 속 쥐‥진짜 나왔을까? 자작극일까? (2023.03.17/뉴스투데이/MBC)
t-fNV1Hgvsg	#Shorts / 미·러 '공중충돌' 영상 공개‥갈등 커지나 (2023.03.17/뉴스투데이/MBC)
z6hzWlPHE5E	#Shorts / [날씨] 아침 쌀쌀, 낮엔 온화‥메마른 대기, '화재 주의' (2023.03.17/뉴스투데이/MBC)
BDHxVDCWXto	#Shorts / 유럽으로 번진 공포‥세계 9위 투자은행도 흔들 (2023.03.16/뉴스데스크/MBC)
im6g7QLcpA8	#Shorts / 일제가 만든 광화문 앞 철로‥조선왕실 흔적 뭉갰다 (2023.03.16/뉴스데스크/MBC)
q_oAqED1Gws	"#Shorts / """"재검토 말고 폐기하라"""" 청년 노동자들 반발 (2023.03.16/뉴스데스크/MBC)"
WYHHcpQr8fQ	"#Shorts / 전두환 손자 연이은 폭로 """"5.18은 폭동‥우리가 피해자"""" (2023.03.16/뉴스데스크/MBC)"
6qqm-D4hb9s	"""""이건 진짜 아니다"""" 단속반도 '으악' #Shorts (2023.03.16/MBC News)"
C099WzH0VIQ	"이순자 """"제발 할미 품으로"""" """"가족이 무섭습니다"""" #Shorts (2023.03.16/MBC News)"
t05E7rbEEl4	"#Shorts / [문화연예 플러스] """"K팝 위기는 BTS 부재 때문"""" (2023.03.16/뉴스투데이/MBC)"
syqhVSHx96g	#Shorts / [이 시각 세계] '프레디' 아프리카 강타‥사망 270명 넘어 (2023.03.16/뉴스투데이/MBC)
OvrLpGIYmPQ	#Shorts / [이 시각 세계] 이란 새해 불꽃축제서 27명 사망 (2023.03.16/뉴스투데이/MBC)
5nqDFZdEp2Q	#Shorts / [와글와글] 영국 총리, 공원서 개 목줄 풀었다 경찰 지적받아 (2023.03.16/뉴스투데이/MBC)
dnZsIw01XEs	#Shorts / 포스코 40억 원 냈지만‥수령 거부에 반대 시위 (2023.03.16/뉴스투데이/MBC)
IAKWqTThEe0	#Shorts / [와글와글] 유명 쇼호스트가 홈쇼핑 생방송 중 욕설 (2023.03.16/뉴스투데이/MBC)
weAJTLcPopM	#Shorts / [와글와글] 중국서 살균제로 해삼·전복 세척 (2023.03.16/뉴스투데이/MBC)
